ID,Country,Continent,number_years,size,IUCN_category,IUCN_Dummy,PGDP_2017,HDI_2017,disToRoads,disTocities,Illigal_poaching1_change,Illigal_poaching2_change,logging_change,mining_change,Compliance_change_Orig,Compliance_change_rev,Agri_encroachment_chnage,grazing_encroachment_chnage,fire_change,Attitude_NP_change,Park_authority_change,Trust_change,Wilflife.Protect_change,Want.NPLand_change_Orig,Want.NPLand_change_rev,Satisfied_change,support_NP_change,Pop_change,NP_relatedBnefit_change,NP_related_econBenefit_Chnage,Poverty_chnage_Orig,Poverty_chnage_rev,Electricity_chnage,Livestock_change,CleanWater_change,Vistation_rate_change,TourismBenefit_change,Unemplyment_change_Orig,Unemplyment_change_rev,Housing_change,ResourceAccess_change,Busness_opration_change,Grants_change,TourismTax.Revenue_chabge,NP_RelatedBenefits_index,Decion_making_change,Benefit_distr_change,Befit_satisfaction_change,Culture_NP_change,Participation_NP_protection_change,Village_chief_change,Supportive_culture,Local_institutions,Willingness,Connection.TO.nuture,Trust.Towards.community,Hunting_deep_rooted,Bush_meat_dependance,Bush_meat_Protine,Training,Resources,Willingness_TO_support,Get_sufficient_support,Power_TO_make_decisions,Ability_TO_reward,Ability_.to_punish,Priority_to_biodiversity,Independent_government_office,Buffor_zone,Regular_patrol,research_institute,Re_introduction,Re_vegitation,Re_hablitation,Re_hablitation2,PES,Alt_Livelihoods,CBC,Community_project,Community_school,Community_health,Community_roads,Community_others,Awareness_creation,Sustainable_Turism_management,Forest_cover_inside,Forest_degradation_inside,Forest_fragmentation_inside,Wood_shrub_cover_inside,Meadow_grassland_cover_inside,Cropland_cover_inside,Wetland_vegetation_cover_inside,Aquatic_vegetation_cover_inside,Fire_Incidence_inside,Logging_inside,Mining_inside,Agri_Severity,Agri_Change_severity,Agri_legal,Invasive_Severity,Invasive_Change_severity,Dams_Severity,Dams_change_severity,Fire_Severity,Fire_Change_severity,Fire_legal,pollution_Severity,Pollution_Change_severity,HumanIntrusion_Severity,HumanIntrusion_Change_severity,HumanIntrusion_legal,Transport_Severity,Transport_Change_severity,Transport_legal,Residential_com_Severity,Residential_com_Change_severity,Residential_Com_legal,Climate_Severity,Climate_severity_Change,Energy_Severity,Energy_Change_severity,Energy_legal,Hunting_Severity,Hunting_Change_severity,Hunting_legal,Logging_Severity,Logging_Change_severity,logging_legal,GatheringPlants_Severity,GatheringPlants_Change_severity,GatheringPlants_legal,Fishing_Severity,Fishing_Change_severity,Fishing_legal,GeologicalEvents_Severity,GeologicalEvents_Change_severity,PoisoningAnimals_Severity,PoisoningAnimals_Change_severity,PoisoningAnimals_legal,Abundance_change
43,France,Europe,45,1412.46,V,0,43800,0.901,0,20.48584177,-1,-1,0,0,1,-1,0,1,0,1,1,1,1,0,0,1,1,0,NA,1,NQ,NQ,NQ,NA,NQ,-1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,3,4,3,3,2,2,6,6,1,2,2,2,1,2,3,5,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,4,1,3,1,5,0,2,5,0,4,1,1,5,0,1,5,0,1,3,1,5,0,1,5,0,1,5,0,1,5,0,1,5,0,1,5,0,5,-1,1,1
44,Ghana,Africa,47,1820,II,1,4700,0.592,0.352612711,66.13710139,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,1,-1,0,1,1,0,1,1,-1,1,1,1,-1,1,1,-1,NQ,-1,1,-1,-1,0,0,0,0,1,0,0,3,6,3,2,5,1,1,1,1,3,4,4,1,1,1,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,0,0,0,1,1,1,1,1,3,1,2,5,0,1,1,1,0,2,3,0,1,1,2,5,0,3,5,0,2,2,1,2,1,2,2,1,2,1,1,2,1,1,2,3,0,2,2,1,NA,NA,NA,0.5
45,Sweden,Europe,56,1998,II,1,51500,0.933,47.29882586,120.7113912,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,NQ,NQ,NQ,0,NQ,1,1,0,0,NA,0,1,NA,1,0.75,0,0,0,0,1,0,3,6,3,4,5,1,2,6,2,5,5,5,6,6,6,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,0,0,NA,NA,NA,5,0,1,1,0,5,0,4,0,2,5,0,3,1,2,5,0,NA,5,0,3,3,1,5,0,2,1,1,2,5,0,2,2,NA,2,5,0,2,5,0,5,0,2,0.181818182
46,Liberia,Africa,15,979.75,Forest reserve,0,1400,0.435,21.81557281,49.1246425,-1,-1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,-1,NA,NA,0,NA,0,0,0,NQ,NA,0,NA,NA,0,0,0,0,0,1,0,3,5,3,2,3,2,2,3,3,5,5,4,3,2,4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,3,NA,NA,NA,2,1,3,5,0,2,1,2,1,1,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,0.571428571
47,Germany,Europe,21,75.13,II,1,50400,0.936,2.206419506,36.30643969,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,1,NQ,NQ,NQ,NA,NQ,0,1,-1,1,0,0,0,1,NA,0.5,0,0,1,0,0,0,3,2,3,5,1,4,5,5,1,2,1,2,2,5,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,-1,0,0,0,0,0,0,5,0,NA,5,0,5,0,5,0,NA,4,0,5,0,NA,5,0,NA,5,0,NA,4,1,5,0,NA,5,0,NA,5,0,NA,5,0,NA,5,0,NA,5,0,5,0,NA,0.363636364
48,Tunisia,Africa,28,26.32,Not assigned,0,11800,0.735,6.539936245,36.48287222,NA,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,-1,0,-1,1,NQ,1,0,0,0,0.2,0,0,1,0,0,0,3,5,2,3,4,5,6,6,5,5,6,6,4,4,3,4,6,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,-1,0,-1,1,1,0,0,0,0,0,0,2,1,3,NA,0,NA,NA,2,1,NA,2,1,1,1,1,3,0,1,3,0,3,2,1,4,0,NA,2,1,NA,NA,NA,NA,1,1,3,5,0,NA,5,0,3,0,3,0.545454545
49,Uganda,Africa,66,2056,II,1,2400,0.516,0,0,1,1,1,0,1,-1,0,1,1,1,1,0,1,0,0,0,1,-1,1,1,-1,1,1,0,1,1,1,-1,1,NQ,1,1,-1,1,1,0,1,0,0,1,1,3,1,2,4,3,5,5,4,1,3,2,3,2,3,2,3,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,-1,-1,-1,0,-1,2,1,3,5,0,4,0,3,-1,3,4,0,4,-1,3,2,1,1,2,1,1,3,1,3,0,3,4,-1,2,NA,NA,NA,4,-1,2,1,1,3,4,-1,5,-1,2,0.543478261
50,Tunisia,Africa,38,165.12,II,1,11800,0.735,9.036610294,56.59936902,NA,1,1,0,0,0,0,1,0,1,1,1,0,1,-1,-1,0,1,0,0,1,-1,1,1,1,-1,0,1,-1,NQ,0,0,0,0,-0.2,0,0,0,0,0,0,3,6,1,1,3,4,6,6,6,6,5,5,5,6,5,5,6,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,4,1,3,4,0,2,0,5,0,3,NA,NA,2,1,3,3,0,3,4,0,3,1,1,5,0,3,1,1,3,1,1,3,1,1,3,5,0,3,5,0,4,0,3,-0.5
51,Ghana,Africa,47,3743,II,1,4700,0.592,7.623297143,76.01755847,0,-1,-1,0,0,0,-1,-1,0,0,1,1,0,0,0,0,1,1,0,0,1,-1,0,1,-1,-1,1,0,0,NQ,-1,-1,-1,-1,-0.2,0,0,0,0,1,1,2,5,3,2,4,3,5,3,3,5,6,5,2,3,2,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,0,-1,1,0,0,1,0,1,2,0,2,5,0,4,0,2,0,3,5,0,1,1,2,5,0,2,5,0,2,5,0,2,0,2,3,1,2,5,0,2,3,1,2,5,0,2,4,0,4,0,2,0.692307692
52,Slovakia,Europe,30,226.3,V,0,33000,0.855,0,11.25704361,NA,0,0,0,1,-1,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,NQ,NQ,NQ,-1,NQ,1,1,-1,1,NA,0,0,0,1,0.75,0,0,1,0,0,0,4,4,4,6,4,4,6,6,5,6,6,6,6,4,2,6,6,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,0,1,4,0,5,0,5,0,3,3,1,3,1,1,3,1,1,3,0,1,2,1,2,0,1,3,0,1,1,1,1,2,1,3,5,0,1,5,0,3,0,2,0.470588235
